,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
0,201800000001,1,1505,1,1,4,1.0,50.55737,2.94992
1,201800000002,2,1015,1,2,7,7.0,50.52936,2.93151
2,201800000003,3,1135,1,2,3,1.0,50.51243,2.91714
3,201800000004,5,1735,1,2,1,7.0,50.51974,2.89123
4,201800000005,6,1605,1,2,1,1.0,50.51607,2.90605
5,201800000006,9,630,2,2,1,2.0,50.52132,2.88837
6,201800000007,9,40,5,2,1,1.0,50.52211,2.96652
7,201800000008,11,1715,5,2,1,1.0,50.53146,2.93875
8,201800000009,2,1557,1,1,1,1.0,50.53707,2.84896
9,201800000010,3,1530,1,2,2,1.0,50.53639,2.81517
10,201800000011,5,1830,1,2,6,1.0,50.54194,2.81987
11,201800000012,5,430,5,1,6,5.0,50.58465,2.90868
12,201800000013,6,845,1,1,1,1.0,50.61613,2.83783
13,201800000014,7,1022,1,2,1,1.0,50.53196,2.80251
14,201800000015,10,1945,3,1,1,1.0,50.57886,2.85234
15,201800000016,1,725,2,2,2,1.0,50.51098,3.12175
16,201800000017,2,1515,1,2,1,4.0,50.51293,3.16665
17,201800000018,4,1145,1,2,3,1.0,50.4803,3.13456
18,201800000019,4,1610,1,1,3,7.0,50.54792,3.14516
19,201800000020,5,1600,1,1,1,1.0,50.54129,3.18902
20,201800000021,6,1745,1,2,1,1.0,50.53925,3.07765
21,201800000022,7,1700,1,2,1,1.0,50.5059,3.12429
22,201800000023,10,1845,2,1,1,1.0,50.53476,3.10671
23,201800000024,12,1133,1,2,1,2.0,50.52832,3.17434
24,201800000025,2,1115,1,2,1,4.0,50.45918,3.03419
25,201800000026,4,1305,1,1,1,1.0,50.47812,3.10784
26,201800000027,3,1700,1,1,2,2.0,50.66745,2.45763
27,201800000028,6,1215,1,2,1,1.0,50.69514,2.42763
28,201800000029,9,1430,1,1,1,1.0,50.7302,2.418
29,201800000030,1,1950,5,2,1,1.0,50.76039,2.72401
30,201800000031,2,530,3,1,1,8.0,50.73276,2.68824
31,201800000032,5,1515,1,2,1,1.0,50.73981,2.69707
32,201800000033,7,1509,1,1,3,1.0,50.73351,2.69505
33,201800000034,2,745,2,1,1,1.0,50.63499,2.73765
34,201800000035,3,2115,3,1,1,2.0,50.71101,2.76577
35,201800000036,5,1115,1,2,1,1.0,50.63462,2.77135
36,201800000037,7,945,1,1,1,1.0,50.6677,2.77069
37,201800000038,9,935,1,1,3,1.0,50.63753,2.73673
38,201800000039,10,700,3,1,1,5.0,50.62599,2.73764
39,201800000040,10,1130,1,2,3,1.0,50.67304,2.78779
40,201800000041,11,1215,1,2,1,1.0,50.6348,2.71447
41,201800000042,1,1400,1,2,1,1.0,50.65537,2.6294
42,201800000043,7,730,1,1,1,7.0,50.62626,2.55111
43,201800000044,9,1800,1,1,1,7.0,50.62556,2.62903
44,201800000045,10,1845,5,1,1,1.0,50.63912,2.59899
45,201800000046,10,20,5,1,3,8.0,50.63898,2.59912
46,201800000047,2,845,1,2,1,7.0,50.63272,3.23652
47,201800000048,11,1650,1,1,9,1.0,50.60838,3.22961
48,201800000049,1,1215,1,2,1,1.0,50.60049,3.16554
49,201800000050,3,1352,1,2,1,2.0,50.57565,3.19834
50,201800000051,8,1530,1,2,1,2.0,50.53908,3.2646
51,201800000052,8,1610,1,2,3,7.0,50.57068,3.21425
52,201800000053,9,1250,1,1,6,2.0,50.57674,3.19362
53,201800000054,10,1730,1,2,3,1.0,50.56511,3.23544
54,201800000055,10,930,1,2,3,1.0,50.53087,3.2193
55,201800000056,4,1520,1,1,1,1.0,50.68934,2.96942
56,201800000057,6,649,2,1,1,1.0,50.72335,3.00707
57,201800000058,10,1800,2,1,1,1.0,50.69979,2.9712
58,201800000059,11,1855,5,1,1,1.0,50.67501,3.00162
59,201800000060,12,1106,1,2,2,7.0,50.71292,2.99974
60,201800000061,1,1800,5,2,1,9.0,50.32068,3.5184
61,201800000062,1,330,3,2,1,2.0,50.26489,3.47979
62,201800000063,2,2231,3,1,9,1.0,50.2496,3.41413
63,201800000064,2,1825,3,1,1,1.0,50.29368,3.27905
64,201800000065,9,1430,1,1,1,1.0,50.26338,3.38517
65,201800000066,10,1845,5,1,1,1.0,50.25869,3.34191
66,201800000067,11,1420,1,1,1,1.0,50.27251,3.25313
67,201800000068,3,2230,3,1,1,1.0,50.11192,3.94567
68,201800000069,3,1130,1,1,1,1.0,50.12195,3.90521
69,201800000070,3,1330,1,1,1,3.0,50.10249,3.87328
