Num_Acc,grav
201800000001,3
201800000001,1
201800000002,1
201800000002,4
201800000003,3
201800000003,1
201800000004,3
201800000004,1
201800000005,4
201800000005,1
201800000006,1
201800000006,1
201800000006,4
201800000006,3
201800000007,3
201800000008,1
201800000008,2
201800000009,4
201800000010,3
201800000010,1
201800000011,1
201800000011,3
201800000012,3
201800000012,3
201800000012,3
201800000012,3
201800000013,3
201800000013,1
201800000013,1
201800000014,1
201800000014,3
201800000015,3
201800000016,1
201800000016,4
201800000017,3
201800000018,3
201800000018,1
201800000019,3
201800000019,3
201800000019,1
201800000020,1
201800000020,3
201800000021,1
201800000021,3
201800000022,1
201800000022,3
201800000023,1
201800000023,3
201800000024,1
201800000024,4
201800000025,2
201800000026,3
201800000026,1
201800000027,3
201800000027,1
201800000027,1
201800000028,3
201800000029,1
201800000029,1
201800000029,2
201800000030,1
201800000030,4
201800000031,2
201800000032,1
201800000032,2
201800000033,1
201800000033,1
201800000033,3
201800000034,4
201800000034,3
201800000035,3
201800000036,1
201800000036,3
201800000037,1
201800000037,1
201800000037,4
201800000037,3
201800000037,3
201800000038,3
201800000038,1
201800000039,1
201800000039,4
201800000040,1
201800000040,3
201800000040,1
201800000041,1
201800000041,3
201800000042,3
201800000043,3
201800000043,1
201800000044,1
201800000044,3
201800000045,3
201800000045,3
201800000046,1
201800000046,1
201800000046,3
201800000047,1
201800000047,2
201800000048,1
201800000048,1
201800000048,4
201800000049,1
201800000049,4
201800000050,1
201800000050,4
201800000051,1
201800000051,2
201800000052,3
201800000052,1
201800000053,1
201800000053,4
201800000054,3
201800000054,1
201800000055,4
201800000055,1
201800000056,1
201800000056,3
201800000057,4
201800000057,3
201800000058,4
201800000058,4
201800000059,3
201800000059,1
201800000060,1
201800000060,4
201800000061,1
201800000061,1
201800000061,1
201800000061,4
201800000062,3
201800000062,3
201800000063,3
201800000064,3
201800000064,4
201800000065,4
201800000065,3
201800000066,3
201800000067,3
201800000068,3
201800000068,4
201800000069,4
201800000069,4
201800000069,4
201800000070,4
201800000070,4
201800000071,3
201800000071,1
201800000072,4
201800000073,3
201800000073,4
201800000074,3
201800000075,1
201800000075,4
201800000076,3
201800000077,1
201800000077,3
201800000078,3
201800000078,1
201800000079,1
201800000079,3
201800000080,1
201800000080,3
201800000081,3
201800000081,3
201800000082,1
201800000082,4
201800000083,4
201800000083,3
201800000084,1
201800000084,4
201800000085,3
201800000086,4
201800000086,3
201800000086,4
201800000087,4
201800000088,4
201800000088,4
201800000089,1
201800000089,4
201800000089,4
201800000089,4
201800000090,3
201800000091,1
201800000091,3
201800000092,3
201800000093,3
201800000094,1
201800000094,2
201800000095,1
201800000095,4
201800000096,1
201800000096,4
201800000097,1
201800000097,1
201800000097,3
201800000098,2
201800000098,1
201800000098,1
201800000099,3
201800000099,1
201800000100,1
201800000100,3
201800000100,1
201800000101,4
201800000102,1
201800000102,4
201800000103,4
201800000103,4
201800000103,4
201800000103,1
201800000103,1
201800000104,1
201800000104,3
201800000105,3
201800000105,1
201800000106,1
201800000106,4
201800000107,1
201800000107,4
201800000108,3
201800000108,1
201800000109,4
201800000109,1
201800000109,1
201800000110,1
201800000110,3
201800000111,3
201800000112,1
201800000112,1
201800000112,3
201800000112,1
201800000112,1
201800000113,2
201800000113,1
201800000114,3
201800000114,3
201800000114,3
201800000115,4
201800000115,4
201800000115,3
201800000116,3
201800000117,3
201800000118,1
201800000118,3
201800000119,1
201800000119,2
201800000120,1
201800000120,3
201800000121,1
201800000121,1
201800000121,1
201800000121,4
201800000122,2
201800000123,4
201800000123,4
201800000123,4
201800000123,4
201800000124,3
201800000125,1
201800000125,3
201800000126,1
201800000126,3
201800000126,3
201800000127,3
201800000128,3
201800000129,3
201800000129,1
201800000130,3
201800000131,3
201800000131,1
201800000132,4
201800000133,1
201800000133,3
201800000134,4
201800000134,1
201800000135,3
201800000136,1
201800000136,3
201800000136,1
201800000137,1
201800000137,4
201800000138,4
201800000138,1
201800000138,1
201800000138,1
201800000138,1
201800000139,4
201800000139,1
201800000139,4
201800000139,3
201800000139,4
201800000139,1
201800000140,1
201800000140,4
201800000141,4
201800000141,1
201800000141,1
201800000141,1
201800000142,1
201800000142,4
201800000142,1
201800000142,1
201800000143,1
201800000143,3
201800000144,1
201800000144,1
201800000144,4
201800000145,3
201800000145,4
201800000146,3
201800000146,1
201800000147,3
201800000148,4
201800000149,4
201800000150,1
201800000150,4
201800000151,4
201800000151,3
201800000151,4
201800000152,1
201800000152,4
201800000153,4
201800000154,1
201800000154,4
201800000155,4
201800000156,3
201800000156,1
201800000157,1
201800000157,3
201800000157,1
201800000158,3
201800000159,1
201800000159,3
201800000160,2
201800000161,3
201800000162,1
201800000162,3
201800000162,1
201800000163,1
201800000163,3
201800000164,3
201800000165,1
201800000165,2
201800000166,1
201800000166,3
201800000167,3
201800000167,1
201800000168,1
201800000168,3
201800000169,4
201800000169,4
201800000169,4
201800000170,1
201800000170,4
201800000170,1
201800000171,3
201800000171,1
201800000172,3
201800000172,3
201800000173,3
201800000174,3
201800000174,3
201800000174,1
201800000175,3
201800000175,3
201800000175,3
201800000176,4
201800000176,4
201800000177,3
201800000177,1
201800000178,3
201800000179,3
201800000179,1
201800000179,1
201800000180,3
201800000180,1
201800000181,1
201800000181,4
201800000182,3
201800000183,1
201800000183,4
201800000183,4
201800000184,4
201800000184,4
201800000184,1
201800000185,2
201800000186,3
201800000186,4
201800000186,1
201800000186,4
201800000187,1
201800000187,2
201800000188,1
201800000188,4
201800000189,1
201800000189,3
201800000190,4
201800000191,1
201800000191,3
201800000191,4
201800000192,1
201800000192,1
201800000192,3
201800000192,2
201800000193,3
201800000193,4
201800000194,3
201800000195,3
201800000195,1
201800000196,1
201800000196,3
201800000197,1
201800000197,1
201800000197,3
201800000198,3
201800000199,4
201800000199,3
201800000199,3
201800000199,1
201800000200,1
201800000200,4
201800000201,3
201800000201,2
201800000202,1
201800000202,3
201800000203,3
201800000203,1
201800000204,1
201800000204,3
201800000205,3
201800000206,3
201800000207,3
201800000207,1
201800000208,1
201800000208,3
201800000209,1
201800000209,3
201800000210,4
201800000210,1
201800000211,4
201800000211,1
201800000212,3
201800000212,1
201800000212,1
201800000213,1
201800000213,4
201800000213,4
201800000214,2
201800000215,4
201800000215,4
201800000216,3
201800000216,1
201800000217,1
201800000217,3
201800000218,1
201800000218,3
201800000218,1
201800000218,1
201800000219,1
201800000219,4
201800000220,4
201800000221,3
201800000222,3
201800000222,1
201800000223,1
201800000223,3
201800000224,1
201800000224,3
201800000224,1
201800000224,1
201800000224,1
201800000224,3
201800000225,3
201800000226,3
201800000226,1
201800000227,1
201800000227,1
201800000227,3
201800000227,1
201800000227,1
201800000227,2
201800000228,4
201800000228,1
201800000229,1
201800000229,2
201800000229,1
201800000229,1
201800000229,1
201800000229,1
201800000229,1
201800000230,3
201800000231,3
201800000231,1
201800000231,1
201800000232,2
201800000232,2
201800000232,3
201800000233,1
201800000233,4
201800000233,1
201800000234,1
201800000234,3
201800000235,4
201800000235,3
201800000236,4
201800000236,4
201800000237,4
201800000237,3
201800000238,3
201800000238,2
201800000238,2
201800000238,3
201800000238,3
201800000238,3
201800000239,1
201800000239,2
201800000239,1
201800000239,1
201800000239,1
201800000240,3
201800000241,3
201800000242,2
201800000243,4
201800000243,1
201800000243,1
201800000244,1
201800000244,3
201800000245,1
201800000245,4
201800000245,4
201800000245,1
201800000246,3
201800000247,4
201800000248,1
201800000248,1
201800000248,3
201800000249,1
201800000249,3
201800000250,4
201800000250,4
201800000251,3
201800000252,3
201800000252,4
201800000253,1
201800000253,4
201800000254,1
201800000254,4
201800000255,1
201800000255,1
201800000255,3
201800000256,1
201800000256,3
201800000256,4
201800000257,4
201800000257,3
201800000258,1
201800000258,3
201800000259,4
201800000259,4
201800000259,4
201800000259,4
