Num_Acc,catv,obs,obsm,manv
201800000001,07,00,2,01
201800000001,07,00,2,15
201800000002,07,00,1,01
201800000003,33,01,2,01
201800000003,07,00,2,15
201800000003,07,00,0,24
201800000004,01,00,2,00
201800000004,07,00,9,21
201800000005,02,00,2,17
201800000005,07,00,2,20
201800000006,07,06,1,01
201800000007,07,08,0,00
201800000008,07,00,1,01
201800000009,33,16,0,01
201800000010,33,00,2,17
201800000010,07,06,0,15
201800000011,07,00,9,15
201800000011,30,00,2,00
201800000012,07,08,0,00
201800000013,33,00,2,05
201800000013,07,00,2,01
201800000014,07,00,1,01
201800000015,07,13,0,01
201800000016,07,00,1,01
201800000017,07,09,0,00
201800000018,02,00,2,01
201800000018,07,00,2,23
201800000019,33,00,2,17
201800000019,07,00,0,15
201800000020,07,12,2,02
201800000020,01,12,0,01
201800000021,07,00,2,15
201800000021,32,00,2,21
201800000022,07,00,1,01
201800000023,07,00,2,17
201800000023,07,00,2,15
201800000024,07,00,1,01
201800000025,07,01,0,01
201800000026,07,00,2,01
201800000026,07,00,2,01
201800000027,07,00,2,01
201800000027,07,00,2,01
201800000027,13,00,2,01
201800000028,33,09,0,01
201800000029,07,13,0,13
201800000030,07,00,1,02
201800000031,07,03,0,01
201800000032,07,00,1,01
201800000033,10,00,2,15
201800000033,10,00,2,01
201800000033,33,00,2,17
201800000034,07,00,2,01
201800000034,07,00,2,00
201800000035,10,13,0,01
201800000036,07,00,0,00
201800000036,33,00,2,01
201800000037,07,00,2,17
201800000037,07,00,2,01
201800000038,07,00,2,15
201800000038,15,00,2,01
201800000039,21,00,0,01
201800000039,33,00,2,17
201800000040,07,00,0,23
201800000040,02,14,0,01
201800000040,07,00,9,01
201800000041,07,00,2,01
201800000041,07,00,2,13
201800000042,34,13,0,02
201800000043,15,10,2,01
201800000043,15,10,2,13
201800000044,07,00,9,17
201800000044,01,00,0,02
201800000045,07,10,0,00
201800000046,07,13,0,00
201800000047,07,00,1,01
201800000048,07,00,2,05
201800000048,07,00,2,05
201800000049,07,00,1,01
201800000050,13,00,2,01
201800000050,07,00,2,05
201800000051,07,00,9,00
201800000051,01,00,0,02
201800000052,02,00,2,17
201800000052,07,00,0,15
201800000053,07,00,2,09
201800000053,33,00,2,01
201800000054,33,00,0,15
201800000054,07,00,0,19
201800000055,02,14,2,17
201800000055,07,00,0,23
201800000056,07,00,9,02
201800000056,01,00,2,02
201800000057,07,13,0,19
201800000058,07,00,2,17
201800000058,07,00,2,17
201800000059,07,00,2,19
201800000059,07,00,2,01
201800000060,07,00,1,01
201800000061,07,01,2,17
201800000061,07,00,2,17
201800000061,07,00,2,01
201800000062,07,06,0,13
201800000063,07,13,0,01
201800000064,07,00,2,01
201800000064,07,00,2,01
201800000065,33,00,0,02
201800000065,31,00,0,02
201800000066,33,00,0,01
201800000067,07,00,0,00
201800000068,07,02,0,01
201800000069,07,02,0,13
201800000070,07,00,0,01
201800000070,07,00,2,01
201800000071,07,09,2,01
201800000072,07,00,0,13
201800000073,15,06,0,13
201800000074,33,13,0,01
201800000075,07,09,2,15
201800000075,07,00,2,01
201800000076,07,13,0,01
201800000077,07,00,2,01
201800000077,02,00,0,01
201800000078,34,02,2,02
201800000078,07,00,2,02
201800000079,10,00,0,15
201800000079,31,00,2,02
201800000080,07,00,2,02
201800000080,01,00,2,02
201800000081,07,00,2,17
201800000081,07,00,2,01
201800000082,07,00,2,19
201800000082,07,00,2,01
201800000083,07,00,2,01
201800000083,07,00,2,15
201800000084,07,00,2,01
201800000084,03,00,2,13
201800000085,07,08,0,13
201800000086,07,00,2,15
201800000086,07,00,2,01
201800000087,07,08,0,16
201800000088,07,03,0,21
201800000089,15,00,2,01
201800000089,07,00,2,02
201800000090,15,07,0,01
201800000091,07,00,1,09
201800000092,02,14,0,17
201800000093,07,08,0,01
201800000094,07,00,9,02
201800000094,01,00,0,01
201800000095,07,00,1,16
201800000096,07,00,1,01
201800000097,07,09,2,14
201800000097,07,07,0,19
201800000098,02,00,2,10
201800000098,07,00,2,02
201800000098,07,00,2,01
201800000099,02,00,2,01
201800000099,07,00,2,15
201800000100,07,00,2,13
201800000100,07,00,2,01
201800000100,07,00,2,01
201800000101,07,06,0,01
201800000102,07,00,1,01
201800000103,07,00,2,01
201800000103,07,00,2,01
201800000104,07,00,1,04
201800000105,07,00,2,02
201800000105,07,00,2,02
201800000106,02,00,1,01
201800000107,07,00,9,00
201800000107,01,00,0,00
201800000108,30,00,0,00
201800000108,07,00,2,00
201800000109,33,00,2,01
201800000109,07,00,2,01
201800000109,03,00,2,19
201800000110,07,00,0,02
201800000110,33,00,2,02
201800000111,07,13,0,01
201800000112,07,00,2,10
201800000112,07,00,2,23
201800000112,07,00,2,01
201800000113,02,00,2,01
201800000113,07,00,2,17
201800000114,07,00,0,19
201800000114,07,00,2,01
201800000115,02,00,0,01
201800000116,33,00,0,01
201800000117,07,13,0,01
201800000118,07,01,0,01
201800000119,07,00,2,01
201800000119,10,09,2,17
201800000120,07,13,0,01
201800000121,07,13,0,01
201800000122,33,13,0,01
201800000123,07,12,0,00
201800000124,07,08,0,01
201800000125,07,00,2,15
201800000125,02,00,2,01
201800000126,07,00,2,00
201800000126,02,00,2,00
201800000127,33,13,0,02
201800000128,33,00,9,14
201800000129,02,03,2,01
201800000129,07,00,2,15
201800000130,33,06,0,00
201800000131,17,00,2,02
201800000131,21,00,0,16
201800000132,35,00,0,15
201800000133,07,00,2,20
201800000133,33,00,2,17
201800000134,02,00,2,11
201800000134,07,00,2,12
201800000135,02,13,0,15
201800000136,02,00,2,15
201800000136,07,00,2,01
201800000137,07,00,1,01
201800000138,07,00,2,01
201800000138,07,07,2,01
201800000138,07,00,9,01
201800000138,07,00,2,09
201800000138,07,00,2,01
201800000139,07,00,2,02
201800000139,07,00,0,24
201800000140,07,00,2,15
201800000140,33,00,2,17
201800000141,07,00,2,01
201800000141,07,00,2,19
201800000142,07,03,2,13
201800000142,07,00,2,01
201800000142,07,00,2,01
201800000143,07,00,2,17
201800000143,07,00,2,10
201800000144,07,00,2,09
201800000144,33,00,2,01
201800000145,31,07,0,01
201800000146,02,01,0,01
201800000146,21,00,0,15
201800000147,31,00,9,00
201800000148,07,00,0,00
201800000149,31,14,0,00
201800000150,33,00,9,01
201800000150,01,00,2,19
201800000151,07,15,2,13
201800000151,07,00,2,01
201800000152,99,00,2,00
201800000152,02,00,2,00
201800000153,07,13,0,01
201800000154,07,00,2,01
201800000154,07,00,2,13
201800000155,07,00,0,01
201800000156,07,13,9,10
201800000157,07,00,2,01
201800000157,07,00,2,15
201800000157,07,00,2,23
201800000158,33,11,0,17
201800000159,07,00,2,01
201800000159,33,01,2,01
201800000160,33,03,0,00
201800000161,33,01,0,14
201800000162,07,07,0,19
201800000162,07,06,0,01
201800000163,07,00,1,17
201800000164,07,01,0,01
201800000165,07,00,1,01
201800000166,21,00,2,04
201800000166,01,00,2,05
201800000167,31,00,2,01
201800000167,07,00,2,01
201800000168,07,00,1,01
201800000169,15,00,2,02
201800000169,10,03,0,02
201800000170,15,00,0,01
201800000170,07,00,2,02
201800000171,07,03,2,05
201800000171,10,03,2,01
201800000172,33,00,0,02
201800000173,07,10,0,02
201800000174,10,00,0,02
201800000174,15,00,0,02
201800000175,07,00,2,01
201800000175,07,08,2,01
201800000176,33,00,0,01
201800000177,33,00,2,01
201800000177,07,00,2,15
201800000178,07,00,0,01
201800000179,07,00,2,01
201800000179,07,03,2,01
201800000180,07,00,2,01
201800000180,13,00,2,15
201800000181,10,00,2,01
201800000181,31,00,2,15
201800000182,34,00,0,00
201800000183,38,00,2,01
201800000183,07,00,2,19
201800000184,07,00,0,01
201800000184,38,00,0,01
201800000185,02,08,0,13
201800000186,07,06,2,02
201800000186,07,00,0,02
